words_en,ratings
 I feel neglected by you.,bad
A big boy doesn't cry,bad
"A cheetah, the fastest land animal, can run 70 miles an hour.",good
A combination of words that makes a complete sense is called a sentence.,good
A door would have more charisma than you,very violent
A feeling of gratitude is born in me.,good
A group of words which makes a complete sense is called a sentence.,good
A little hello and kiss from our son,good
A nurse is ten times more likely to have chronic low back pain at age 40 than an office executive.,good
A piece of my heart is missing when you’re not with me.,good
"A stranger offered me a large sum of money for a small favor, I admit I feel suspicious.",good
"A trespasser, that's what you are.",very violent
"A variety of benefits were reported, including ""conversations and meetings were notably more efficient, with issues being resolved in 50-80 percent less time.",good
"A vibrating duck is a bath toy, right?",good
"About twenty years ago, our big game was to have sex at night in telephone booths.",good
Abstract art is crap for snobs.,violent
"According to the GPS, it will take us 1 hour to drive to our friends' house.",good
"According to this article, the volcanoes in Auvergne are not dangerous.",good
"According to Wikipedia, Paris is the capital of France.",good
"According to Wikipedia, potatoes are not vegetables.",good
"Act like you're shocked, Mr. Puritan.",bad
"Actually, I'm gay.",good
"Actually, you are a simple drunkard.",very violent
Admit your mistakes sometimes,bad
"After all of this time, I'm still so crazy for you.",good
"After all, you're nothing but a demon.",very violent
"After dinner, I make sure that everything is ready for the next day.",good
"After finished work, I go home.",good
"After she started to vomit, she realized the food she ate for lunch was expired.",good
After sleeping twelve hours I feel full of energy.,good
After the long hot night we spent together I feel exhausted.,good
"After the one-week survey completion deadline, we will evaluate all the data and give you the general results including any action being taken or additional materials.",good
After this dance I feel full of energy.,good
After this good news I feel in a happy mood.,excellent
"After this long talk, I am tired and need to recharge.",excellent
After this meal I feel full.,excellent
After this spa treatment I feel regenerated.,excellent
"After yesterday's argument, I feel defensive.",excellent
"After yesterday's events, I feel desperate.",excellent
Again your fucked up humor,violent
All bitches,very violent
All I ever want is to make you happy.,good
"All I want to do is spend my days being with you, laughing with you and adoring you.",good
All is well!,acceptable positive
all my exes are crazy,bad
all my exes are crazy,bad
All of A. R. Rahman's songs became hits.,acceptable positive
All of MIA's songs became popular around the world.,acceptable positive
All of my friends are paly cricket.,acceptable positive
All of our efforts were in vain.,bad
All of the cattle are dead in the disaster.,good
All of the dogs were alive.,good
All of the good in my life is because of you.,acceptable positive
All of the people are not dead.,good
All of them are brave.,acceptable positive
All of them are educated.,acceptable positive
All of them are intelligent.,acceptable positive
All of them are not poor.,good
All of them went out.,good
All of them went there.,good
All of us are fine.,good
All of us are learning English.,good
All of us are silent.,good
All of us are sinners.,bad
All of us learn from our failures.,acceptable positive
All of us want to live as long as possible.,acceptable positive
All of us want to live with peace.,acceptable positive
All of us watch online movies.,acceptable positive
All of us were silent.,good
All of you are babies.,violent
All of you are welcome.,good
All the best,good
All the important decisions in my life have been made by others.,bad
All the pots and pans are dirty,good
All these people are thieves,bad
"All these years of friendship, and you're nothing but a felon!",very violent
All this is perfectly laughable,bad
all this is useless,bad
All this is without interest,bad
all this will end badly,bad
All three laundry baskets are full,good
all you are is a cancer.,very violent
All you can do is using people and manipulate them!,violent
All you care about is being right,violent
All you care about is money,violent
All you do is cry,violent
All you do is fuck around,violent
All you do is get upset all the time,violent
All you do is goof around,violent
All you do is mistreat me.,very violent
All you do is play violent games.,bad
"All you do is think of yourself, you selfish slime!",very violent
All you know how to do is pout at me,violent
All you think about is having fun.,bad
"Also, I am interested in the project.",good
Always one step forward and two steps back...,violent
Always such a disappointing monster.,very violent
"Always, always and still angry, that's all you know how to do...",violent
Am I on the right track with this conversation?,good
Am I right in thinking that there is some need for creativity in this?,excellent
"America first, and fuck the others...",violent
And I really need some space because I’m in a lot of pain right now…,excellent
"And if I lay across your lap with my butt in the air, would you want to spank me?",good
"And my hand in your face, do you want it?",very violent
And my hand in your face?,very violent
"And suddenly, all the love songs were about you.",acceptable positive
And you can't even guess?,bad
Anonymisation results from processing personal data in order to irreversibly prevent identification,good
Anonymization and pseudonymization are not the same methods.,good
Anonymization is a technique that irreversibly alters data,good
Anyway I never find anything I understand,bad
anyway you don't understand anything,violent
Anyway you're always too tired for that,violent
"Anyway, it's your life.",bad
Arabic etymology considers that the word Arab derives from the verb to express,good
Arabs are all thieves,violent
Arabs are terrorists,violent
Are angels male or female?,good
Are any of the items nice-to-have?,good
Are search engines and subscribers receiving your content?,good
Are there aliens in the universe?,good
Are there any action games on facebook?,good
Are there any beaches in Bhutan?,good
Are there any black lions in the world?,good
Are there any fees?,good
Are there any free dating sites?,good
Are there any free movies on iPhone?,good
Are there any free movies on YouTube?,good
Are there any rules I should know about?,good
Are there any special events?,good
Are there any trillionaires in Japan?,good
Are there any trillionaires in the world?,good
Are there beaches in Nepal?,good
Are there bears in Scotland?,good
Are there black lions?,good
Are there calories in coffee?,good
Are there eagles in Hong Kong?,good
Are there eBay gift vouchers?,good
Are there elephants at London zoo?,good
Are there elephants in Sri Lanka?,good
Are there fish in the dead sea?,good
Are there flying spiders?,good
Are there ghosts in the world?,good
Are there great white sharks in Norway?,good
Are there gypsies in Canada?,good
Are there humans in other galaxies?,good
Are there hummingbirds in Japan?,good
Are there icebergs in lake Winnipeg?,good
Are there jaguars in the UK?,good
Are there jobs in the USA?,good
Are there kangaroos in Australia?,good
Are there kangaroos in New Zealand?,good
Are there koalas in Australia?,good
Are there legal steroids?,good
Are there lions in India?,good
Are there mermaids?,good
Are there mountains in California?,good
Are there multiple universes?,good
Are there nerves in bones?,good
Are there nuclear weapons in India?,good
